from_ata,to_ata,interface_type,signal_medium,protocol_spec,power_W,data_rate,notes
DDD,21,Thermal/Fluid,Drain lines,ECS drainage spec,0,N/A,Condensate drain lines from air conditioning system
DDD,21,Signal,Digital,Humidity sensor protocol,5,10 Hz,Dehumidification system control signals
DDD,24,Electrical,DC power,28V aircraft power,100,N/A,Power for drain heaters and dehumidification equipment
DDD,28,Thermal/Fluid,H2/Fuel lines,Fuel drainage spec,0,N/A,Fuel system drain points and water separator drainage
DDD,31,Data,Ethernet,ARINC 429/664,10,1 Mbps,Humidity and drainage system status reporting
DDD,36,Thermal/Fluid,Bleed air,Pneumatic spec,0,N/A,Bleed air for wing anti-ice drain management
DDD,42,Logic/Signal,Discrete,Avionics protocol,2,1 Hz,Ice detection and drainage system status to flight deck
DDD,53,Structural,Drain paths,Structural drainage,0,N/A,Fuselage drain holes and moisture management paths
DDD,57,Structural,Drain paths,Wing drainage spec,0,N/A,Wing surface drainage and anti-ice runoff management
DDD,92,Electrical,Wire harness,EWIS standard,20,N/A,Electrical wiring for sensors and drain heaters
DDD,93,Data,Databus,ARINC 664,15,100 Mbps,Integration with aircraft databus for system monitoring
